code,name,description,refreshed_at,from_date,to_date
EVD_X,CTS Eventim (EVD_X),Stock Prices for CTS Eventim (EVD) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005470306,2019-04-12 22:53:25,2000-02-02,2019-04-12
EVK_X,Evonik Industries (EVK_X),Stock Prices for Evonik Industries (EVK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000EVNK013,2019-04-12 22:53:20,2013-04-25,2019-04-12
EVT_X,Evotec (EVT_X),Stock Prices for Evotec (EVT) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005664809,2019-04-12 22:53:25,2000-03-28,2019-04-12
FIE_X,Fielmann (FIE_X),Stock Prices for Fielmann (FIE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005772206,2019-04-12 22:53:25,2000-10-25,2019-04-12
FME_X,Fresenius Medical Care  & Co. Kgaa St (FME_X),Stock Prices for Fresenius Medical Care  & Co. Kgaa St (FME) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005785802,2019-04-12 22:53:25,2000-01-18,2019-04-12
FNTN_X,Freenet (FNTN_X),Stock Prices for Freenet (FNTN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0Z2ZZ5,2019-04-12 22:53:20,2000-01-18,2019-04-12
FPE3_X,Fuchs Petrolub  Vz (FPE3_X),Stock Prices for Fuchs Petrolub  Vz (FPE3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005790430,2019-04-12 22:53:25,2000-01-10,2019-04-12
FRA_X,Fraport (FRA_X),Stock Prices for Fraport (FRA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005773303,2019-04-12 22:53:20,2001-06-11,2019-04-12
FRE_X,Fresenius Se & Co. Kgaa (FRE_X),Stock Prices for Fresenius Se & Co. Kgaa (FRE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005785604,2019-04-12 22:53:20,2000-01-14,2019-04-12
G1A_X,GEA AG (G1A_X),Stock Prices for GEA AG (G1A) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006602006,2019-04-12 22:53:20,2000-01-18,2019-04-12
GBF_X,Bilfinger Se (GBF_X),Stock Prices for Bilfinger Se (GBF) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005909006,2019-04-12 22:53:20,2000-01-18,2019-04-12
GFJ_X,Gagfah S.a. (GFJ_X),"Stock Prices for Gagfah S.a. from the Frankfurt Stock Exchange. Trading System: Xetra. The Company is a joint stock corporation organized under the laws of the Grand Duchy of Luxembourg qualifying as a securitization company under the Luxembourg Securitization Law of March 22, 2004. Our core business is the acquisition, ownership and management of a geographically diversified and well maintained residential property portfolio throughout Germany.With a portfolio of more than 145,000 apartments located throughout Germany, we are one of the largest privately held residential property owners and operators in Germany and are the largest listed residential property company in Germany.",2015-12-08 23:07:39,2006-10-19,2015-12-08
GFK_X,Gfk Se (GFK_X),Stock Prices for Gfk Se (GFK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005875306,2017-10-24 23:10:38,2000-01-18,2017-10-18
GIL_X,Dmg Mori Seiki (GIL_X),Stock Prices for Dmg Mori Seiki (GIL) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005878003,2019-04-12 22:53:25,2000-01-17,2019-04-12
